Date,Open,High,Low,Close,Volume,Day,Weekday,Week,Month,Year
04/04/94,25.10616117,25.50438435,25.10616117,25.43198013,2627300,4,0,14,4,1994
05/04/94,25.68539528,25.95691109,25.68539528,25.95691109,1179000,5,1,14,4,1994
06/04/94,25.99311319,26.01121425,25.77590055,25.95691109,516500,6,2,14,4,1994
07/04/94,25.93880974,26.13792132,25.79400131,26.08361816,666100,7,3,14,4,1994
08/04/94,26.02932616,26.02932616,25.75781024,25.88451767,242400,8,4,14,4,1994
11/04/94,25.95690474,26.10171314,25.89355107,25.99310684,203300,11,0,15,4,1994
12/04/94,26.02026478,26.06551741,25.90260793,25.95691109,1409200,12,1,15,4,1994
13/04/94,25.94785527,26.01120894,25.63108689,25.82114792,364100,13,2,15,4,1994
14/04/94,25.77590465,25.96596575,25.72160148,25.83020782,419900,14,3,15,4,1994
15/04/94,25.8211573,25.93881416,25.78495518,25.83020782,387300,15,4,15,4,1994
18/04/94,25.85735861,25.92976284,25.57679224,25.65824699,369100,18,0,16,4,1994
19/04/94,25.63109287,25.79400236,25.47723391,25.69444656,472200,19,1,16,4,1994
20/04/94,25.72159862,25.78495231,25.53153755,25.66729546,508000,20,2,16,4,1994
21/04/94,25.77589394,26.04740968,25.6853887,26.01120758,200300,21,3,16,4,1994
22/04/94,26.07455981,26.09266085,25.91165037,25.98405457,301800,22,4,16,4,1994
25/04/94,25.97501266,26.27368005,25.97501266,26.25557899,394600,25,0,17,4,1994
